시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
초등학교,일직초교,경상북도 안동시 일직면 감시골길 6-3,경상북도 안동시 일직면 원호리 116,36.48404603,128.6566137,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,용상초교,경상북도 안동시 경동로 900,경상북도 안동시 용상동 1176-1,36.55772273,128.7528735,안동시청,안동경찰서,Y,3,24,2020-03-21,5070000,경상북도 안동시
초등학교,와룡초교,경상북도 안동시 와룡면 문화마을길 11,경상북도 안동시 와룡면 가구리 684,36.61956082,128.7685353,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,남후초교,경상북도 안동시 남후면 무릉길 104,경상북도 안동시 남후면 무릉리 347,36.52129792,128.6913447,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,온혜초교,경상북도 안동시 도산면 온혜중마길 6,경상북도 안동시 도산면 온혜리 572,36.74997266,128.8311698,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,영호초교,경상북도 안동시 옥서4길 8,경상북도 안동시 옥동 923-1,36.56044698,128.6917958,안동시청,안동경찰서,Y,11,14,2020-03-21,5070000,경상북도 안동시
특수학교,안동영명학교,경상북도 안동시 북후면 산약길 12,경상북도 안동시 북후면 오산리 500-1,36.62142691,128.7095905,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,영남초교,경상북도 안동시 영남길 15,경상북도 안동시 안기동 195-10,36.57345663,128.7208336,안동시청,안동경찰서,Y,4,25,2020-03-21,5070000,경상북도 안동시
초등학교,영가초교,경상북도 안동시 서경지8길 2,경상북도 안동시 태화동 179,36.56310988,128.7160379,안동시청,안동경찰서,Y,14,14,2020-03-21,5070000,경상북도 안동시
초등학교,안동초교,경상북도 안동시 경동로 643,경상북도 안동시 남문동 189-5,36.56433321,128.728155,안동시청,안동경찰서,Y,8,20,2020-03-21,5070000,경상북도 안동시
초등학교,신성초교,경상북도 안동시 풍천면 신성장골길 1,경상북도 안동시 풍천면 신성리 373,36.52552846,128.4624582,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,송현초교,경상북도 안동시 경동로 313,경상북도 안동시 송현동 371-5,36.57341122,128.695841,안동시청,안동경찰서,Y,2,28,2020-03-21,5070000,경상북도 안동시
초등학교,송천초교,경상북도 안동시 송천2길 119,경상북도 안동시 송천동 941-1,36.54625273,128.7922569,안동시청,안동경찰서,Y,9,8,2020-03-21,5070000,경상북도 안동시
초등학교,서후초교,경상북도 안동시 서후면 학가산온천길 375,경상북도 안동시 서후면 성곡리 115-3,36.61679883,128.6630268,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,서선초교,경상북도 안동시 풍산읍 서선길 51,경상북도 안동시 풍산읍 수곡리 382,36.59104105,128.6392909,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,서부초교,경상북도 안동시 서동문로 65,경상북도 안동시 금곡동 111-1,36.56757465,128.7190901,안동시청,안동경찰서,Y,11,25,2020-03-21,5070000,경상북도 안동시
유치원,상지유치원,경상북도 안동시 상지길 31,경상북도 안동시 신안동 27-35,36.56972876,128.7336012,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,북후초교,경상북도 안동시 북후면 도장길 339,경상북도 안동시 북후면 장기리 679,36.67630123,128.6970904,안동시청,안동경찰서,Y,3,8,2020-03-21,5070000,경상북도 안동시
초등학교,대구교육대학교안동부설초교,경상북도 안동시 단원로 222,경상북도 안동시 명륜동 산156-5,36.56982246,128.7286392,안동시청,안동경찰서,Y,4,8,2020-03-21,5070000,경상북도 안동시
초등학교,복주초교,경상북도 안동시 복주3길 23-13,경상북도 안동시 옥동 763-1,36.56296062,128.6982753,안동시청,안동경찰서,Y,7,17,2020-03-21,5070000,경상북도 안동시
초등학교,동부초교,경상북도 안동시 동부길 2,경상북도 안동시 신세동 122-1,36.56652927,128.7370013,안동시청,안동경찰서,Y,7,8,2020-03-21,5070000,경상북도 안동시
초등학교,녹전초교,경상북도 안동시 녹전면 녹전로 695,경상북도 안동시 녹전면 신평리 659-3,36.74105597,128.7741184,안동시청,안동경찰서,Y,2,8,2020-03-21,5070000,경상북도 안동시
초등학교,남선초교,경상북도 안동시 남선면 구미양지마길 26,경상북도 안동시 남선면 구미리 146,36.52485027,128.768694,안동시청,안동경찰서,N,0,8,2020-03-21,5070000,경상북도 안동시
초등학교,길주초교,경상북도 안동시 경동로 947-20,경상북도 안동시 용상동 591-1,36.5556003,128.7604289,안동시청,안동경찰서,Y,1,19,2020-03-21,5070000,경상북도 안동시
초등학교,길안초교,경상북도 안동시 길안면 충효로 2230,경상북도 안동시 길안면 천지리 554,36.45486558,128.8961109,안동시청,안동경찰서,Y,1,8,2020-03-21,5070000,경상북도 안동시
초등학교,강남초교,경상북도 안동시 강남1길78,경상북도 안동시 정하동 272-1,36.55004536,128.7317096,안동시청,안동경찰서,Y,2,14,2020-03-21,5070000,경상북도 안동시
유치원,강남유치원,경상북도 안동시 강남로 21,경상북도 안동시 수상동 583-1,36.54750789,128.7039584,안동시청,안동경찰서,Y,2,14,2020-03-21,5070000,경상북도 안동시
초등학교,강진마량초등학교,전라남도 강진군 마량면 서중길 42,전라남도 강진군 마량면 마량리 1028-3,34.45626997,126.8113921,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
초등학교,강진대구초등학교,전라남도 강진군 대구면 청자로 1888,전라남도 강진군 대구면 수동리 785,34.4927032940,126.7978182474,전라남도 강진군청,강진경찰서,Y,2,6,2020-02-10,4920000,전라남도 강진군
초등학교,해명초교,"인천광역시 강화군 삼산면 삼산남로 345 (매음리, 해명초등학교)",인천광역시 강화군 삼산면 매음리 77-4,37.6686982335,126.3627091476,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20,3570000,인천광역시 강화군
초등학교,삼산초교,"인천광역시 강화군 삼산면 삼산북로 451 (석모리, 삼산초등학교)",인천광역시 강화군 삼산면 석모리 249-2,37.7030443373,126.3216155003,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20,3570000,인천광역시 강화군
초등학교,화도초교,"인천광역시 강화군 화도면 마니산로 717 (상방리, 화도초등학교)",인천광역시 강화군 화도면 상방리 943,37.6318677848,126.4187657885,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20,3570000,인천광역시 강화군
초등학교,조산초교,"인천광역시 강화군 양도면 강화남로 510 (조산리, 조산초등학교)",인천광역시 강화군 양도면 조산리 235-1,37.6529674657,126.4386317643,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20,3570000,인천광역시 강화군
초등학교,양사초교,"인천광역시 강화군 양사면 덕하로 145 (덕하리, 양사초등학교)",인천광역시 강화군 양사면 덕하리 117-1,37.8031215742,126.4215140304,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20,3570000,인천광역시 강화군
초등학교,양도초교,"인천광역시 강화군 양도면 강화남로 1036 (삼흥리, 양도초등학교)",인천광역시 강화군 양도면 삼흥리 288,37.6889453816,126.4193681826,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20,3570000,인천광역시 강화군
초등학교,길상초교,"인천광역시 강화군 길상면 삼랑성길 22 (온수리, 길상초등학교)",인천광역시 강화군 길상면 온수리 527-3,37.6384626342,126.4904274170,인천광역시 강화군청,강화경찰서,Y,2,6,2019-09-20,3570000,인천광역시 강화군
초등학교,강화초교,"인천광역시 강화군 강화읍 북문길 36 (관청리, 강화초등학교)",인천광역시 강화군 강화읍 관청리 361,37.7503477171,126.4861299896,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20,3570000,인천광역시 강화군
초등학교,명신초교,"인천광역시 강화군 하점면 강화서로560번길 22 (망월리, 명신초등학교)",인천광역시 강화군 하점면 망월리 256,37.7446270087,126.3905414099,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20,3570000,인천광역시 강화군
초등학교,합일초교,"인천광역시 강화군 강화읍 합일길 3 (신문리, 합일초등학교)",인천광역시 강화군 강화읍 신문리 452,37.7442895579,126.4828089499,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20,3570000,인천광역시 강화군
초등학교,대월초교,"인천광역시 강화군 강화읍 대월로 216 (대산리, 대월초등학교)",인천광역시 강화군 강화읍 대산리 1239,37.7605605115,126.4901720053,인천광역시 강화군청,강화경찰서,Y,4,6,2019-09-20,3570000,인천광역시 강화군
초등학교,송해초교,"인천광역시 강화군 송해면 전망대로 93-12 (솔정리, 송해초등학교)",인천광역시 강화군 송해면 솔정리 640,37.7694549259,126.4610555776,인천광역시 강화군청,강화경찰서,Y,3,6,2019-09-20,3570000,인천광역시 강화군
초등학교,교동초교,"인천광역시 강화군 교동면 대룡안길 29 (대룡리, 교동초등학교)",인천광역시 강화군 교동면 대룡리 535,37.7836953704,126.2817105937,인천광역시 강화군청,강화경찰서,Y,1,6,2019-09-20,3570000,인천광역시 강화군
초등학교,난정초교,"인천광역시 강화군 교동면 교동서로378번길 28 (난정리, 난정초등학교)",인천광역시 강화군 교동면 난정리 1282,37.7704691,126.2394251,인천광역시 강화군청,강화경찰서,Y,2,4,2019-09-20,3570000,인천광역시 강화군
